	V1	V2
71	Syngr1	Gas6
72	Serpinb6a	Gas6
73	Wwp1	Gas6
74	Stab1	Gas6
75	Gpnmb	Lipa
76	Syngr1	Lipa
77	Igf1	Lipa
78	Lpl	Lipa
79	Serpinb6a	Lipa
80	Fabp4	Lipa
81	Pld3	Lipa
82	Cd36	Lipa
83	Hist1h2bc	Lipa
84	Acp5	Lipa
85	Adam8	Lipa
86	Camk1	Lipa
87	Gas6	Lipa
88	Malat1	Ptms
89	Serpinb6a	Ptms
90	Camk1	Ptms
91	Malat1	Stmn1
92	Lpl	Stmn1
93	Serpinb6a	Stmn1
94	Hist1h2bc	Stmn1
95	Camk1	Stmn1
96	Hist1h1c	Stmn1
97	Serpinb6a	Folr2
98	Mmp12	Folr2
99	Cd36	Folr2
100	Hist1h2bc	Folr2
101	Adam8	Folr2
102	Wwp1	Folr2
103	Stmn1	Folr2
104	Gpnmb	Cd84
105	Syngr1	Cd84
106	Lpl	Cd84
107	Serpinb6a	Cd84
108	Camk1	Cd84
109	Gas6	Cd84
110	Lipa	Cd84
111	Folr2	Cd84
112	Gpnmb	Mfge8
113	Syngr1	Mfge8
114	Lpl	Mfge8
115	Serpinb6a	Mfge8
116	Mmp12	Mfge8
117	Fabp4	Mfge8
118	Pld3	Mfge8
119	Cd36	Mfge8
120	Hist1h2bc	Mfge8
121	Acp5	Mfge8
122	Hist1h1c	Mfge8
123	Malat1	Atp6v1a
124	Gpnmb	Atp6v1a
125	Igf1	Atp6v1a
126	Mmp12	Atp6v1a
127	Hist1h2bc	Atp6v1a
128	Adam8	Atp6v1a
129	Gas6	Atp6v1a
130	Lipa	Atp6v1a
131	Gpnmb	Mertk
132	Serpinb6a	Mertk
133	Stab1	Mertk
134	Gas6	Mertk
135	Lipa	Mertk
136	Cd84	Mertk
137	Malat1	Blnk
138	Gpnmb	Blnk
139	Serpinb6a	Blnk
140	Pld3	Blnk
141	Hist1h2bc	Blnk
142	Gas6	Blnk
143	Stmn1	Blnk
144	Atp6v1a	Blnk
145	Gpnmb	Cyb5a
146	Igf1	Cyb5a
147	Lpl	Cyb5a
148	Serpinb6a	Cyb5a
149	Mmp12	Cyb5a
150	Fabp4	Cyb5a
151	Cd36	Cyb5a
152	Hist1h2bc	Cyb5a
153	Acp5	Cyb5a
154	Hist1h1c	Cyb5a
155	Gas6	Cyb5a
156	Lipa	Cyb5a
157	Stmn1	Cyb5a
158	Folr2	Cyb5a
159	Mfge8	Cyb5a
160	Igf1	Pea15a
161	Lpl	Pea15a
162	Hist1h2bc	Pea15a
163	Mfge8	Pea15a
164	Gpnmb	Gpr137b
165	Syngr1	Gpr137b
166	Igf1	Gpr137b
167	Serpinb6a	Gpr137b
168	Mmp12	Gpr137b
169	Fabp4	Gpr137b
170	Pld3	Gpr137b
171	Cd36	Gpr137b
172	Hist1h2bc	Gpr137b
173	Acp5	Gpr137b
174	Adam8	Gpr137b
175	Hist1h1c	Gpr137b
176	Lipa	Gpr137b
177	Mfge8	Gpr137b
178	Cyb5a	Gpr137b
179	Malat1	Cxcl14
180	Serpinb6a	Cxcl14
181	Hist1h2bc	Cxcl14
182	Stmn1	Cxcl14
183	Mfge8	Cxcl14
184	Cyb5a	Cxcl14
185	Gpnmb	Ifi27
186	Igf1	Ifi27
187	Serpinb6a	Ifi27
188	Fabp4	Ifi27
189	Cd36	Ifi27
190	Hist1h2bc	Ifi27
191	Hist1h1c	Ifi27
192	Lipa	Ifi27
193	Cxcl14	Ifi27
194	Malat1	Rhoc
195	Gpnmb	Rhoc
196	Igf1	Rhoc
197	Lpl	Rhoc
198	Serpinb6a	Rhoc
199	Mmp12	Rhoc
200	Fabp4	Rhoc
201	Hist1h2bc	Rhoc
202	Adam8	Rhoc
203	Hist1h1c	Rhoc
204	Folr2	Rhoc
205	Mfge8	Rhoc
206	Cyb5a	Rhoc
207	Gpr137b	Rhoc
208	Serpinb6a	Rcbtb2
209	Pld3	Rcbtb2
210	Stmn1	Rcbtb2
211	Malat1	Selenoh
212	Serpinb6a	Selenoh
213	Fabp4	Selenoh
214	Hist1h2bc	Selenoh
215	Hist1h1c	Selenoh
216	Stmn1	Selenoh
217	Syngr1	Tspan4
218	Igf1	Tspan4
219	Lpl	Tspan4
220	Serpinb6a	Tspan4
221	Mmp12	Tspan4
222	Pld3	Tspan4
223	Hist1h2bc	Tspan4
