V1	V2
184	Arg1	Rap1gap2
185	Mt1	Rap1gap2
186	Fn1	Rap1gap2
187	Mafb	Rap1gap2
188	Ear2	Rap1gap2
189	Fcgr2b	Rap1gap2
190	Mmp19	Rap1gap2
191	Spp1	Ecm1
192	Ccl9	Ecm1
193	Arg1	Ecm1
194	Ccl2	Ecm1
195	Pf4	Ecm1
196	Mt1	Ecm1
197	Fn1	Ecm1
198	Ccl7	Ecm1
199	Mafb	Ecm1
200	Ear2	Ecm1
201	Fcgr2b	Ecm1
202	Ms4a6d	Ecm1
203	Ccl12	Ecm1
204	Lmna	Ecm1
205	Mmp19	Ecm1
206	Ppbp	Ecm1
207	Ccl24	Ecm1
208	Fn1	Pde4d
209	Ccl12	Pde4d
210	Lmna	Pde4d
211	Slc16a10	Pde4d
212	Pdia6	Pde4d
213	Ormdl2	Pde4d
214	Ecm1	Pde4d
215	Ccl9	Vcan
216	Arg1	Vcan
217	Ccl2	Vcan
218	Mt1	Vcan
219	Fn1	Vcan
220	F13a1	Vcan
221	Mafb	Vcan
222	Ear2	Vcan
223	Ms4a6d	Vcan
224	Rap1gap2	Vcan
225	Ecm1	Vcan
226	Pf4	Klf4
227	Lmna	Klf4
228	Pdpn	Klf4
229	March3	Klf4
230	Rap1gap2	Klf4
231	Ecm1	Klf4
232	Spp1	Emp1
233	Arg1	Emp1
234	Ccl2	Emp1
235	Hmox1	Emp1
236	Pf4	Emp1
237	Mt1	Emp1
238	Fn1	Emp1
239	Ccl7	Emp1
240	F13a1	Emp1
241	Mafb	Emp1
242	Ear2	Emp1
243	Fcgr2b	Emp1
244	Ms4a4c	Emp1
245	Ms4a6d	Emp1
246	Ccl12	Emp1
247	Lmna	Emp1
248	Mmp19	Emp1
249	Lpl	Emp1
250	Ppbp	Emp1
251	Pdpn	Emp1
252	March3	Emp1
253	Ecm1	Emp1
254	Klf4	Emp1
255	Spp1	Dab2
256	Ccl9	Dab2
257	Arg1	Dab2
258	Ccl2	Dab2
259	Hmox1	Dab2
260	Pf4	Dab2
261	Mt1	Dab2
262	Fn1	Dab2
263	Ccl7	Dab2
264	F13a1	Dab2
265	Mafb	Dab2
266	Ear2	Dab2
267	Ms4a4c	Dab2
268	Ms4a6d	Dab2
269	Ccl12	Dab2
270	Lmna	Dab2
271	Mmp19	Dab2
272	Pdia6	Dab2
273	Ppbp	Dab2
274	Ccl24	Dab2
275	Rap1gap2	Dab2
276	Ecm1	Dab2
277	Pde4d	Dab2
278	Emp1	Dab2
279	Ccl9	Tubb6
280	Arg1	Tubb6
281	Ccl2	Tubb6
282	Pf4	Tubb6
283	Fn1	Tubb6
284	Ms4a4c	Tubb6
285	Ms4a6d	Tubb6
286	Lmna	Tubb6
287	Mmp19	Tubb6
288	Ormdl2	Tubb6
289	Cd86	Tubb6
290	Ecm1	Tubb6
291	Pde4d	Tubb6
292	Emp1	Tubb6
293	Dab2	Tubb6
294	Pde4d	B4galt1
295	Ccl2	Ms4a6b
296	F13a1	Ms4a6b
297	Ms4a4c	Ms4a6b
298	Ms4a6d	Ms4a6b
299	Ccl12	Ms4a6b
300	Mt1	Uck2
301	Fn1	Uck2
302	Plcb1	Uck2
303	F13a1	Uck2
304	Mafb	Uck2
305	Ms4a6d	Uck2
306	Mmp19	Uck2
307	Cd86	Uck2
308	B4galt1	Uck2
309	Ccl7	Inhba
310	Mmp19	Inhba
311	Tubb6	Inhba
312	Spp1	Mrc1
313	Arg1	Mrc1
314	Ccl2	Mrc1
315	Pf4	Mrc1
316	Mt1	Mrc1
317	Fn1	Mrc1
318	Ccl7	Mrc1
319	Ms4a6d	Mrc1
320	Ccl12	Mrc1
321	Ppbp	Mrc1
322	Ccl24	Mrc1
323	Pdpn	Mrc1
324	March3	Mrc1
325	Ecm1	Mrc1
326	Emp1	Mrc1
327	Dab2	Mrc1
328	Tubb6	Mrc1
329	Ccl9	Prdx2
330	Ccl2	Prdx2
331	Fn1	Prdx2
332	Ms4a6d	Prdx2
333	Ccl24	Prdx2
334	Ecm1	Prdx2
335	Mrc1	Prdx2
336	Ccl9	Errfi1
337	Arg1	Errfi1
338	Ccl2	Errfi1
339	Ear2	Errfi1
340	Fcgr2b	Errfi1
341	Lmna	Errfi1
342	Pdpn	Errfi1
343	Inhba	Errfi1
344	Ccl9	Nr4a2
345	Arg1	Nr4a2
346	Fn1	Nr4a2
347	F13a1	Nr4a2
348	Mafb	Nr4a2
349	Mmp19	Nr4a2
350	Slc16a10	Nr4a2
351	Ppbp	Nr4a2
352	Crem	Nr4a2
353	March3	Nr4a2
354	Ecm1	Nr4a2
355	Emp1	Nr4a2
356	Hmox1	Exosc3
357	Fn1	Exosc3
358	Spp1	Fcgr1
359	Ccl9	Fcgr1
360	Arg1	Fcgr1
361	Ccl2	Fcgr1
362	Hmox1	Fcgr1
363	Pf4	Fcgr1
364	Fn1	Fcgr1
365	Ccl7	Fcgr1
366	Fcgr2b	Fcgr1
367	Ms4a4c	Fcgr1
368	Ms4a6d	Fcgr1
369	Ccl12	Fcgr1
370	Mmp19	Fcgr1
371	Ccl24	Fcgr1
372	Ecm1	Fcgr1
373	Pde4d	Fcgr1
374	Emp1	Fcgr1
375	Dab2	Fcgr1
376	Ms4a6b	Fcgr1
377	Mrc1	Fcgr1
378	Prdx2	Fcgr1
379	Arg1	Glul
380	Fn1	Glul
381	Ormdl2	Glul
382	Tubb6	Glul
383	Inhba	Glul
384	Fcgr1	Glul
385	Mmp19	Cyfip1
386	Pde4d	Cyfip1
387	Dab2	Cyfip1
388	Errfi1	Cyfip1
389	Ear2	Smpdl3b
390	Hes1	Smpdl3b
391	Spp1	Myo1e
392	Ccl9	Myo1e
393	Arg1	Myo1e
394	Pf4	Myo1e
395	Fn1	Myo1e
396	Fcgr2b	Myo1e
397	Ms4a4c	Myo1e
398	March3	Myo1e
399	Ecm1	Myo1e
400	Klf4	Myo1e
401	Emp1	Myo1e
402	Dab2	Myo1e
403	Tubb6	Myo1e
404	Errfi1	Myo1e
405	Ccl9	Clec4a3
406	Arg1	Clec4a3
407	Ccl2	Clec4a3
408	Mt1	Clec4a3
409	Ccl7	Clec4a3
410	F13a1	Clec4a3
411	Ear2	Clec4a3
412	Mt2	Clec4a3
413	Dab2	Clec4a3
414	Errfi1	Clec4a3
415	Fcgr1	Clec4a3
416	Smpdl3b	Clec4a3
417	Myo1e	Clec4a3
418	Arg1	Nrg1
419	Ccl2	Nrg1
420	Fn1	Nrg1
421	Mafb	Nrg1
422	Pdia6	Nrg1
423	Vcan	Nrg1
424	Uck2	Nrg1
425	Errfi1	Nrg1
426	Exosc3	Nrg1
427	Cyfip1	Nrg1
428	Myo1e	Nrg1
429	Spp1	Chd9
430	Arg1	Chd9
431	Fn1	Chd9
432	Dab2	Chd9
433	Fcgr1	Chd9
434	Ccl9	Gpr171
435	Arg1	Gpr171
436	Pf4	Gpr171
437	F10	Gpr171
438	Ccl24	Gpr171
439	Ecm1	Gpr171
440	Emp1	Gpr171
441	Dab2	Gpr171
442	Tubb6	Gpr171
443	Mrc1	Gpr171
444	Fcgr1	Gpr171
445	Spp1	Snx5
446	Ccl9	Snx5
447	Ccl2	Snx5
448	Fn1	Snx5
449	Ccl7	Snx5
450	Mafb	Snx5
451	Ms4a6d	Snx5
452	Ccl12	Snx5
453	Ecm1	Snx5
454	Vcan	Snx5
455	Mrc1	Snx5
456	Fcgr1	Snx5
457	Plcb1	Gm47283
458	Lmna	Gm47283
459	Slc16a10	Gm47283
460	Pdpn	Gm47283
461	Pde4d	Gm47283
462	B4galt1	Gm47283
463	Cyfip1	Gm47283
464	Arg1	Pgm1
465	Uck2	Pgm1
466	Inhba	Pgm1
467	Errfi1	Pgm1
468	Arg1	Man1a
469	Mt1	Man1a
470	Lmna	Man1a
471	Vcan	Man1a
472	Uck2	Man1a
473	Inhba	Man1a
