V1	V2
120	Piezo2	Rai14
121	4930523C07Rik	Rai14
122	Thbs2	Ifitm10
123	Phldb2	Ifitm10
124	Kcnma1	Ifitm10
125	Mfap2	Serf1
126	Slit2	Serf1
127	Prickle1	Serf1
128	4930523C07Rik	Serf1
129	Scx	Nxn
130	Grb10	Nxn
131	Thbs2	Tln2
132	Kcnma1	Tln2
133	Rai14	Strbp
134	Itm2a	Dleu2
135	Mdk	Dleu2
136	H19	Dleu2
137	Thbs2	Dleu2
138	Kcnma1	Dleu2
139	C1qtnf3	Trabd2b
140	Ncam1	Trabd2b
141	Picalm	Trabd2b
142	Kcnma1	Trabd2b
143	Plxna4	Trabd2b
144	Ifitm10	Trabd2b
145	Itm2a	Etl4
146	Mdk	Etl4
147	Thbs2	Etl4
148	Mfap2	Etl4
149	Col11a1	Etl4
150	Tsc22d1	Etl4
151	Nhs	Etl4
152	Cdh11	Etl4
153	Trabd2b	Etl4
154	Kcnma1	Aqp2
155	4931406P16Rik	Aqp2
156	Itm2a	Nuak1
157	Scx	Mpped2
158	Plxna4	Mpped2
159	Phldb2	Hs6st2
160	Kcnma1	Hs6st2
161	Cdh11	Hs6st2
162	Thbs2	Slc7a2
163	C1qtnf3	Slc7a2
164	Rin2	Slc7a2
165	Phldb2	Slc7a2
166	Kcnma1	Slc7a2
167	4931406P16Rik	Slc7a2
168	Plxna4	Slc7a2
169	Thbs2	Lurap1l
170	Nhs	Lurap1l
171	Slc7a2	Lurap1l
172	Fndc1	Jag1
173	C1qtnf3	Kcnj15
174	Slit2	Kcnj15
175	Phldb2	Kcnj15
176	Kcnma1	Kcnj15
177	Olfml2b	Kcnj15
178	Nuak1	Kcnj15
179	Itm2a	Susd6
180	C1qtnf3	Susd6
181	Kcnma1	Susd6
182	Rai14	Susd6
183	Lurap1l	Susd6
184	Thbs2	Itga11
185	Scx	Itga11
186	Fndc1	Rgl1
187	C1qtnf3	Rgl1
188	Thbs2	St3gal5
189	Col11a1	St3gal5
190	Grb10	St3gal5
191	H19	Adamts17
192	Col11a1	Adamts17
193	Kcnma1	Adamts17
194	Antxr1	Adamts17
195	Plxna4	Adamts17
196	Sulf2	Adamts17
197	Fbn2	Adamts17
198	Col16a1	Adamts17
199	Ifitm10	Adamts17
200	Aqp2	Adamts17
201	Slc7a2	Adamts17
202	Jag1	Adamts17
203	Plaat3	Adamts17
204	Itga11	Adamts17
205	Unc119	Adamts17
206	Gm5617	Adamts17
207	Hmgcr	Adamts17
208	Itm2a	Nrp2
209	H19	Nrp2
210	Wfdc18	Nrp2
211	Thbs2	Nrp2
212	C1qtnf3	Nrp2
213	Kcnma1	Nrp2
214	Grb10	Nrp2
215	Nuak1	Nrp2
216	Lurap1l	Nrp2
217	Cdh11	Nlk
218	4930523C07Rik	Nlk
219	Col16a1	Nlk
