V1	V2
389	Hilpda	Bcl2a1a
390	Thbs1	Bcl2a1a
391	Cxcl3	Bcl2a1a
392	Ccl3	Bcl2a1a
393	Ccl24	Bcl2a1a
394	Pdpn	Bcl2a1a
395	Cxcl1	Bcl2a1a
396	Fam162a	Bcl2a1a
397	Slc2a1	Bcl2a1a
398	Areg	Bcl2a1a
399	Il6	Bcl2a1a
400	Serpine1	Bcl2a1a
401	Cd24a	Bcl2a1a
402	Bcl2a1d	Bcl2a1a
403	Rab11fip1	Bcl2a1a
404	Ptgs2	Bcl2a1a
405	Car4	Bcl2a1a
406	Rffl	Bcl2a1a
407	Pfkl	Bcl2a1a
408	Bst1	Acly
409	Serpine1	Acly
410	Cd24a	Acly
411	Car4	Acly
412	Bcl2a1a	Acly
413	Ptgs2	Jaml
414	Arg1	Nufip1
415	Pdpn	Nufip1
416	Vcan	Nufip1
417	Cacna1d	Nufip1
418	Areg	Nufip1
419	Rab11fip1	Nufip1
420	Car4	Nufip1
421	Pfkl	Nufip1
422	Hilpda	Tnfrsf9
423	Thbs1	Tnfrsf9
424	Cxcl3	Tnfrsf9
425	Sdc4	Tnfrsf9
426	Mt2	Tnfrsf9
427	Ptgs2	Tnfrsf9
428	Jaml	Tnfrsf9
429	Arg1	Il1a
430	Hilpda	Il1a
431	Thbs1	Il1a
432	Cxcl3	Il1a
433	Ccl24	Il1a
434	Pdpn	Il1a
435	S100a8	Il1a
436	Slc16a3	Il1a
437	Mt2	Il1a
438	Cxcl1	Il1a
439	Inhba	Il1a
440	Itgam	Il1a
441	Areg	Il1a
442	Il6	Il1a
443	Serpinb2	Il1a
444	Cd24a	Il1a
445	Bcl2a1d	Il1a
446	Rab11fip1	Il1a
447	Ptgs2	Il1a
448	Car4	Il1a
449	Rffl	Il1a
450	Rbpms	Il1a
451	Slc7a8	Il1a
452	Bcl2a1a	Il1a
453	Tnfrsf9	Il1a
454	Arg1	Mthfd2
455	Thbs1	Mthfd2
456	Mt2	Mthfd2
457	Ero1l	Mthfd2
458	Il1a	Mthfd2
459	Arg1	Gm15283
460	Cxcl3	Gm15283
461	Vcan	Gm15283
462	Fam162a	Gm15283
463	Cacna1d	Gm15283
464	Slc2a1	Gm15283
465	Areg	Gm15283
466	Serpinb2	Gm15283
467	Ankrd37	Gm15283
468	Rffl	Gm15283
469	Cxcl3	Papss2
470	Ccl24	Papss2
471	Slc16a3	Papss2
472	Hif1a	Papss2
473	Serpine1	Papss2
474	Wfdc21	Papss2
475	Mthfd1l	Papss2
476	Arg1	Hcar2
477	Hilpda	Hcar2
478	Ccl24	Hcar2
479	Il6	Hcar2
480	Serpine1	Hcar2
481	Bcl2a1d	Hcar2
482	Mthfd1l	Hcar2
483	Tlr4	Hcar2
484	Cxcl3	Appbp2
