V1	V2
Plcb1	Vps8
Slc16a10	Vps8
3-Mar	Vps8
Klf4	Vps8
Arg1	Tfrc
Ccl2	Tfrc
Pf4	Tfrc
Ccl7	Tfrc
Ccl12	Tfrc
Ppbp	Tfrc
Ecm1	Tfrc
Mrc1	Tfrc
Cd38	Tfrc
Tubb6	Imp4
Smpdl3b	Imp4
Myo1e	Imp4
Ccl2	Eif2s2
F13a1	Eif2s2
Ms4a6d	Eif2s2
Mmp19	Eif2s2
Pdia6	Eif2s2
Ormdl2	Eif2s2
Nr4a2	Eif2s2
Nrg1	Eif2s2
Pgm1	Eif2s2
Man1a	Eif2s2
Hmox1	Papss2
Inhba	Papss2
Fn1	Pxk
Errfi1	Pxk
Myo1e	Pxk
Nrg1	Pxk
Ms4a6d	Cox4i2
Hes1	Cox4i2
Ormdl2	Cox4i2
Pde4d	Cox4i2
Dab2	Cox4i2
Gpr171	Cox4i2
Fam172a	Cox4i2
Imp4	Cox4i2
Ccl12	AU022252
Hes1	AU022252
Lmna	Yipf5
Cd86	Yipf5
Nr4a2	Yipf5
Man1a	Yipf5
Dapk1	Yipf5
