V1	V2
F10	Fam162a
Ccr1	Fam162a
Slc16a3	Fam162a
Manf	Fam162a
Mt2	Fam162a
Emilin2	Fam162a
Smox	Fam162a
Ero1l	Fam162a
Nedd9	Fam162a
Inhba	Fam162a
Bnip3	Fam162a
Lyz2	Higd1a
Ctss	Higd1a
Cst3	Higd1a
Tmsb4x	Higd1a
Cxcl3	Higd1a
Slpi	Higd1a
Rps4x	Higd1a
Rps19	Higd1a
Prdx6	Higd1a
Rgcc	Higd1a
F10	Higd1a
Slc16a3	Higd1a
Manf	Higd1a
Mt2	Higd1a
Emilin2	Higd1a
Smox	Higd1a
Ero1l	Higd1a
Nedd9	Higd1a
Bnip3	Higd1a
Fam162a	Higd1a
Lyz2	Pilra
Ctss	Pilra
Cst3	Pilra
Tmsb4x	Pilra
Cxcl3	Pilra
Rps27a	Pilra
Tyrobp	Pilra
Rpl32	Pilra
Slpi	Pilra
Rps18	Pilra
Rpl41	Pilra
Rps19	Pilra
Rpl13	Pilra
Rps8	Pilra
Rplp1	Pilra
Rpl3	Pilra
Fcer1g	Pilra
Prdx6	Pilra
Rpl14	Pilra
Rgcc	Pilra
Rps23	Pilra
Rpl11	Pilra
Slc16a3	Pilra
Manf	Pilra
Mt2	Pilra
Smox	Pilra
Ero1l	Pilra
Nedd9	Pilra
Inhba	Pilra
Bnip3	Pilra
Fam162a	Pilra
Lyz2	Fndc3a
Ctss	Fndc3a
Cst3	Fndc3a
Tmsb4x	Fndc3a
Cxcl3	Fndc3a
Rpl37a	Fndc3a
Rps27a	Fndc3a
Tyrobp	Fndc3a
Rps29	Fndc3a
Rpl32	Fndc3a
Slpi	Fndc3a
Rps18	Fndc3a
Rps4x	Fndc3a
Rpl41	Fndc3a
Rps19	Fndc3a
Rpl13	Fndc3a
Rps8	Fndc3a
Rplp1	Fndc3a
Rpl3	Fndc3a
Fcer1g	Fndc3a
Prdx6	Fndc3a
Rpl14	Fndc3a
Rgcc	Fndc3a
Rps23	Fndc3a
F10	Fndc3a
Rpl11	Fndc3a
Ccr1	Fndc3a
Slc16a3	Fndc3a
Manf	Fndc3a
Mt2	Fndc3a
Emilin2	Fndc3a
Smox	Fndc3a
Ero1l	Fndc3a
Nedd9	Fndc3a
Inhba	Fndc3a
Bnip3	Fndc3a
Fam162a	Fndc3a
Higd1a	Fndc3a
Pilra	Fndc3a
Lyz2	Dnajb9
Ctss	Dnajb9
Cst3	Dnajb9
Tmsb4x	Dnajb9
Cxcl3	Dnajb9
Tyrobp	Dnajb9
Rpl32	Dnajb9
Rps18	Dnajb9
Rpl41	Dnajb9
Rps19	Dnajb9
Rpl13	Dnajb9
Rps8	Dnajb9
Rplp1	Dnajb9
Rpl3	Dnajb9
Prdx6	Dnajb9
Rpl14	Dnajb9
Rgcc	Dnajb9
F10	Dnajb9
Rpl11	Dnajb9
Ccr1	Dnajb9
Slc16a3	Dnajb9
Manf	Dnajb9
Mt2	Dnajb9
Emilin2	Dnajb9
Smox	Dnajb9
Ero1l	Dnajb9
Inhba	Dnajb9
Bnip3	Dnajb9
Fam162a	Dnajb9
Higd1a	Dnajb9
Pilra	Dnajb9
Fndc3a	Dnajb9
Lyz2	Gpr141
Tmsb4x	Gpr141
Cxcl3	Gpr141
Rpl37a	Gpr141
Rpl13	Gpr141
Rps8	Gpr141
Rpl3	Gpr141
Fcer1g	Gpr141
Prdx6	Gpr141
Rpl14	Gpr141
Ccr1	Gpr141
Slc16a3	Gpr141
Manf	Gpr141
Mt2	Gpr141
Emilin2	Gpr141
Smox	Gpr141
Ero1l	Gpr141
Nedd9	Gpr141
Bnip3	Gpr141
Fam162a	Gpr141
Higd1a	Gpr141
Fndc3a	Gpr141
Dnajb9	Gpr141
Lyz2	Dok2
Ctss	Dok2
Cst3	Dok2
Tmsb4x	Dok2
Cxcl3	Dok2
Rps27a	Dok2
Rps29	Dok2
Rps18	Dok2
Rps19	Dok2
Rpl13	Dok2
Rps8	Dok2
Rplp1	Dok2
Rpl3	Dok2
Fcer1g	Dok2
