Name	Score	Rank
drug_242	drug_242	0.287930930927321	228
drug_142	drug_142	0.287968152094098	229
drug_109	drug_109	0.293757335128798	230
drug_446	drug_446	0.295527322593221	231
drug_174	drug_174	0.305705216268734	238
drug_225	drug_225	0.305705216268734	238
drug_295	drug_295	0.305705216268734	238
drug_343	drug_343	0.305705216268734	238
drug_394	drug_394	0.305705216268734	238
drug_397	drug_397	0.305705216268734	238
drug_398	drug_398	0.305705216268734	238
drug_400	drug_400	0.305705216268734	238
drug_444	drug_444	0.305705216268734	238
drug_49	drug_49	0.305705216268734	238
drug_59	drug_59	0.305705216268734	238
drug_64	drug_64	0.305705216268734	238
drug_71	drug_71	0.305705216268734	238
drug_392	drug_392	0.324384599561158	245.5
drug_96	drug_96	0.324384599561158	245.5
drug_191	drug_191	0.332812181321786	247
drug_58	drug_58	0.364605760248412	248
drug_105	drug_105	0.371696742961171	254.5
drug_173	drug_173	0.371696742961171	254.5
drug_181	drug_181	0.371696742961171	254.5
drug_183	drug_183	0.371696742961171	254.5
drug_187	drug_187	0.371696742961171	254.5
drug_233	drug_233	0.371696742961171	254.5
drug_33	drug_33	0.371696742961171	254.5
drug_35	drug_35	0.371696742961171	254.5
drug_40	drug_40	0.371696742961171	254.5
drug_438	drug_438	0.371696742961171	254.5
drug_442	drug_442	0.371696742961171	254.5
drug_81	drug_81	0.371696742961171	254.5
drug_43	drug_43	0.386223842142456	261
drug_382	drug_382	0.401221028764769	262
drug_30	drug_30	0.408899674415024	263.5
drug_94	drug_94	0.408899674415024	263.5
drug_157	drug_157	0.422524495311254	265
drug_89	drug_89	0.424624735921101	267
drug_91	drug_91	0.424624735921101	267
drug_95	drug_95	0.424624735921101	267
drug_249	drug_249	0.440850548906065	269.5
drug_463	drug_463	0.440850548906065	269.5
drug_376	drug_376	0.466155972292344	271
drug_301	drug_301	0.47485537397913	272.5
drug_460	drug_460	0.47485537397913	272.5
drug_291	drug_291	0.483689647108183	275
drug_304	drug_304	0.483689647108183	275
drug_306	drug_306	0.483689647108183	275
drug_407	drug_407	0.490472613408352	277
drug_11	drug_11	0.520409038378108	278
drug_99	drug_99	0.549447994428939	279
drug_425	drug_425	0.557729506088944	280.5
drug_430	drug_430	0.557729506088944	280.5
drug_290	drug_290	0.559422580610421	284.5
drug_293	drug_293	0.559422580610421	284.5
drug_305	drug_305	0.559422580610421	284.5
